correspondent_verbatim	files	nearest_authority_id	nearest_authority_name	similarity	likely_alias_of_existing
Suresh Pratap Singh	1	bhanu-pratap-singh	bhanu pratap singh	0.76	review
Abdul Ganidhar	1	a-p-j-abdul-kalam	a p j abdul kalam	0.64	review
R V S Mani	1	minoo-masani	m r masani mp	0.63	review
S P Godrej	1	bp-godrej	bp godrej	0.84	review
P J Vyas	1			0.00	no
Lal Bahadur Shastri	1			0.00	no
U M Trivedi	1			0.00	no
Krishnalal Shrivastava	1	d-k-srivastava	dr dk srivastava	0.63	review
Acharya Ranga	1	n-g-ranga	acharya n g ranga	0.87	yes
Lalit Kumar	1	ajit-karnik	ajit karnik	0.64	review
Sanjeev	1			0.00	no
K Thiagarajan	1	k-jayaraman	k jayaraman	0.67	review
J B Dsouza	1			0.00	no
Philip Mason	1			0.00	no
William F Buckley Jr	1			0.00	no
Syt Viren Shah	1			0.00	no
J S Davids	1			0.00	no
Pashabhai Patel	1	sardar-patel	patel	0.75	review
Vasanji Kheraj Thakrar	1			0.00	no
J M Prabhu	1	j-m-lobo-prabhu	j m lobo prabhu	0.80	yes
Patwant Singh	1	charan-singh	charan singh	0.72	review
Bhanu Babu	1			0.00	no
Chandrakant Parikh	1	indumati-parikh	indumati parikh	0.67	review
Inder Malhotra	1	iskander-mirza	iskander mirza	0.57	review
Dandekar to Mr Minoo Masani	1	minoo-masani	m r masani mp	0.62	review
Minoo Masani to N Dandekar	1	minoo-masani	m r masani mp	0.63	review
Shenoy	1	b-r-shenoy	b r shenoy	0.80	review
Avtar Singh Rikhy	1	fatima-sheikh	fatima sheikh	0.60	review
H R Paaricha	1	h-t-parekh	h t parekh	0.64	review
Rajeev Patil	1			0.00	no
Indu Kumar Thakkar	1			0.00	no
J B Kriplani	1	j-b-kripalani	acharya kripalani	0.62	review
M G Devashyam	1			0.00	no
inder malohtra	1	iskander-mirza	iskander mirza	0.57	review
Zarrer Masani	1	minoo-masani	m r masani mp	0.73	review
Zarrer	1			0.00	no
B G Verghess	1	bg-verghese	bg verghese	0.87	review
V N Tarkunda	1	v-m-tarkunde	v m tarkunde	0.83	yes
Jay Prakash Naryan	1	jayaprakash-narayan	jai prakash narayan	0.95	yes
V M Tarkunda	1	v-m-tarkunde	v m tarkunde	0.92	yes
Om Mehta	1	n-c-mehta	n c mehta	0.71	review
Bombay and Rajkot	1			0.00	no
V P Sreenivasan	1	ma-sreenivasan	m a sreenivasan	0.87	review
Prabhakar S koopiker	1			0.00	no
Member of General Council of the Swatantra party	1			0.00	no
K M Panigraphy	1	k-v-m-pai	k v m pai	0.61	review
C Pathik	1			0.00	no
S N Ghosh	1	s-l-n-sinha	s l n sinha	0.50	review
B N Rao	1	b-g-rao	b g rao	0.86	yes
Moshe Kol	1			0.00	no
Sam Seghal	1	ms-seetha	ms seetha	0.63	review
Ishwara Dutt	1			0.00	no
Mohan Murari	1	r-m-mohan-rao	r m mohan rao	0.67	review
K R Koshti	1	j-h-doshi	j h doshi	0.63	review
G N Manjanasthya	1	a-ranganathan	a ranganathan	0.62	review
T S Krishnamoorthy	1	t-t-krishnamachari	t t krishnamachari	0.67	review
Bahadur C B Taraporevals	1	r-j-taraporevala	prof r j taraporevala	0.62	review
Venkata Subbarao	1	ma-venkata-rao	ma venkata rao	0.73	review
R N Rai	1	r-n-jha	r n jha	0.71	review
Sundaram	1			0.00	no
B K Sen	1	b-r-shenoy	b r shenoy	0.71	review
A N Hegda	1	r-n-jha	r n jha	0.62	review
Dadasaheb Larsan Patil	1			0.00	no
R Venkata Subbarao	1	ma-venkata-rao	ma venkata rao	0.75	review
Ishwardas Khare	1			0.00	no
Nathalal S Shah	1	parth-shah	parth j shah	0.67	review
Ishwardas Khera	1	richard-plaster	richard plaster	0.60	review
Ishwar Das Khera	1			0.00	no
S Usham Singh Nagoka	1			0.00	no
K U Shetty	1	t-subbaya-shetty	t subbaya shetty	0.69	review
P V Pamnani	1	vh-pandya	vh pandya	0.60	review
Dwivedi	1			0.00	no
N Parthasarthy	1			0.00	no
K S K Menon	1	v-p-menon	v p menon	0.70	review
J S Naryan	1	jayaprakash-narayan	jai prakash narayan	0.80	review
Avtar krishnan	1	v-k-krishna-menon	krishna menon	0.67	review
Bal Raj Trikha	1	hans-raj-khanna	hans raj khanna	0.62	review
Kali Vakeal	1	malini-karakal	malini karakal	0.24	review
K K Jinaraja Hegde	1			0.00	no
Trikha	1			0.00	no
Atulnanda Chakarbarti	1	sauvik-chakraverti	sauvik chakraverti	0.56	review
S P Khanna	1	hans-raj-khanna	hans raj khanna	0.72	review
S V pattabhy	1			0.00	no
Simon Singh	1	manmohan-singh	dr manmohan singh	0.72	review
S L Pareak	1	h-t-parekh	h t parekh	0.70	review
K B Jinraja Hedge	1			0.00	no
G P Bhatnagar	1			0.00	no
George A Floris	1			0.00	no
G B Joshi	1	sharad-joshi	sharad joshi	0.61	review
N S Deshmukh	1	chintaman-deshmukh	c c deshmukh	0.83	review
Prem Nath Joshi	1	sharad-joshi	sharad joshi	0.61	review
A Goswami	1			0.00	no
S Anand	1	bs-sanyal	b s sanyal	0.62	review
P H S Rao	1	u-r-rao	prof u r rao	0.67	review
Virendra Agarwal	1	ishwar-chandra-vidyasagar	ishwar chandra vidyasagar	0.62	review
T P Daver	1			0.00	no
Nathlal Shah	1	parth-shah	parth j shah	0.67	review
K N Gulatia	1	k-d-malaviya	k d malaviya	0.61	review
N C Mishra	1	n-c-mehta	n c mehta	0.74	review
Bhrama Swaroop Gupta	1			0.00	no
Braham P Bharucha	1			0.00	no
Mohammad mirza	1			0.00	no
Nurgesh kothwala	1			0.00	no
Sant Kumar Chopra	1			0.00	no
Praduman kumar	1			0.00	no
Nab Kishore Das	1	kishore-valicha	kishore valicha	0.60	review
Madhav Singh	1	manmohan-singh	dr manmohan singh	0.77	review
B R Trikha	1	benjamin-tucker	b r tucker	0.60	review
B P Singh	1	bhanu-pratap-singh	bhanu pratap singh	0.67	review
D K Kunte	1			0.00	no
Sunday Times	1			0.00	no
Indhira Gandhi	1	indira-gandhi	indira	0.96	yes
B G Verghese	1	bg-verghese	bg verghese	0.96	yes
BG Vergheese	1	bg-verghese	bg verghese	0.96	yes
B B Chavas	1	m-c-chagla	chagla	0.60	review
Anil Agarwal	1	anu-aga	anu aga	0.63	review
Shridhar	1			0.00	no
P N Dhar	1	p-n-haksar	p n haksar	0.78	review
Ramchandra Asin	1	charan-singh	charan singh	0.67	review
RC Cooper	1	r-c-cooper	dr r c cooper	0.82	review
Nalinkumar M Desai	1			0.00	no
General Secertary	1			0.00	no
Liladhar Patel	1	sardar-patel	patel	0.77	review
Gunvant Dave	1	raghunath-karve	raghunath karve	0.67	review
S V Raju to Minoo Masani	1	minoo-masani	m r masani mp	0.67	review
Minoo Masani to S V Raju	1	minoo-masani	m r masani mp	0.67	review
Member of Gujarat State Parliamentary Board	1			0.00	no
Munshi	1	k-m-munshi	k m munshi	0.75	review
Dhanuka	1	s-m-dahanukar	s m dahanukar	0.70	review
Navin T Khandwalla	1	nani-palkhivala	n a palkhivala	0.61	review
Manubhai Chwada	1			0.00	no
Dhirubhai Patel	1	dr-ig-patel	dr ig patel	0.62	review
Jagdish Munshi	1	jagdish-bhagwati	bhagwati	0.67	review
Madhu	1	thomas-robert-malthus	malthus	0.67	review
Venkiteswaran	1	k-venkataraman	dr k venkataraman	0.60	review
Soli	1			0.00	no
Navroz Seervai	1			0.00	no
Sosan Panday	1	sunil-bhandare	mr sunil s bhandare	0.61	review
T S Bhluwalla	1	m-g-hallar	m g balier	0.61	review
P C Chatterji	1			0.00	no
S C Rastogi	1	k-f-rustomji	k f rustomji	0.61	review
K V Murthy	1	kv-subrahmanyam	k v subrahmanyam	0.46	review
B P Prem	1			0.00	no
A Madhwa Warrier	1			0.00	no
K C Ghia	1			0.00	no
Balram Tandon	1			0.00	no
Ayub Sayeed	1	atal-bihari-vajpayee	a b vajpayee	0.64	review
N D Prabhu	1	g-giridhar-prabhu	g giridhar prabhu	0.67	review
M K Tata	1	r-k-talwar	r k talwar	0.67	review
Farrokh S Nulla	1			0.00	no
S V Murthy	1			0.00	no
Arvind Deshpandey	1	arvind-deshpande	arvind deshpande	0.97	yes
Nisula Eskiel	1			0.00	no
P G Navalankar	1			0.00	no
S A Chowdhury	1	dr-th-chowdhary	dr th chowdhary	0.71	review
Viren Saha	1	jr-henshaw	jr henshaw	0.60	review
Jai S Ratnakar	1			0.00	no
George Fernandes	1			0.00	no
K Venkatraman	1	k-venkataraman	dr k venkataraman	0.87	review
G Mahadevan	1	b-s-mahajan	b s mahajan	0.64	review
Maganlal B Joshi	1	sharad-joshi	sharad joshi	0.60	review
Akhil Bhartiya Jain S M Sangh	1			0.00	no
George Fernanded	1			0.00	no
R K Narayan	1	jayaprakash-narayan	jai prakash narayan	0.76	review
Maharaja Saheb	1	maharana-pratap	maharana pratap	0.62	review
B Bhatnagar	1	sunil-bhandare	mr sunil s bhandare	0.64	review
Vijay Mehta	1	f-a-mehta	f a mehta	0.70	review
A J Faridi	1			0.00	no
D Nanda	1	kiran-nanda	kiran nanda	0.67	review
K S Koder	1	s-s-kanoria	s s kanoria	0.60	review
Lalchand hirachand	1			0.00	no
